Name,ERSTELLDAT,NUMMER,Position X,Position Y,Position Z
BefNr,16/06/2016,3,4476325.3418,5777091.2857,0.0000
BefNr,16/06/2016,4,4476325.5001,5777090.1074,0.0000
BefNr,16/06/2016,1,4476324.6497,5777088.8393,0.0000
BefNr,16/06/2016,2,4476324.0961,5777090.5066,0.0000
Fund,16/06/2016,2-2,4476323.9377,5777090.2415,0.0000
Fund,16/06/2016,2-3,4476324.2809,5777090.4899,0.0000
Fund,16/06/2016,1-1,4476324.3000,5777088.9922,0.0000
Fund,16/06/2016,2-1,4476323.8629,5777090.6231,0.0000
NivPunkt,16/06/2016,0,4476324.2245,5777090.8923,0.0000
NivPunkt,16/06/2016,0,4476325.3550,5777091.4972,0.0000
NivPunkt,16/06/2016,0,4476324.4914,5777089.1896,0.0000
NivPunkt,16/06/2016,0.35,4476322.9198,5777087.8444,0.3500
NivPunkt,16/06/2016,0.35,4476323.5895,5777093.0350,0.3500
ProfilNr,16/06/2016,3/2,4476325.6850,5777091.3509,0.0000
ProfilNr,16/06/2016,3/1,4476325.0162,5777091.1654,0.0000
ProfilNr,16/06/2016,4/2,4476325.6080,5777090.0070,0.0000
ProfilNr,16/06/2016,4/1,4476325.2193,5777090.0070,0.0000
ProfilNr,16/06/2016,1/2,4476325.1597,5777088.6864,0.0000
ProfilNr,16/06/2016,1/1,4476323.9139,5777088.9631,0.0000
ProfilNr,16/06/2016,2/2,4476324.5544,5777090.8318,0.0000
ProfilNr,16/06/2016,2/1,4476323.5517,5777090.1419,0.0000
